#  E (eV)   dos(E)     Int dos(E)
  0.567  0.1043E-03  0.1043E-06
  0.568  0.1210E-03  0.2253E-06
  0.569  0.1403E-03  0.3656E-06
  0.570  0.1625E-03  0.5282E-06
  0.571  0.1880E-03  0.7161E-06
  0.572  0.2172E-03  0.9334E-06
  0.573  0.2507E-03  0.1184E-05
  0.574  0.2889E-03  0.1473E-05
  0.575  0.3327E-03  0.1806E-05
  0.576  0.3826E-03  0.2188E-05
  0.577  0.4395E-03  0.2628E-05
  0.578  0.5042E-03  0.3132E-05
  0.579  0.5779E-03  0.3710E-05
  0.580  0.6615E-03  0.4371E-05
  0.581  0.7563E-03  0.5128E-05
  0.582  0.8637E-03  0.5991E-05
  0.583  0.9852E-03  0.6977E-05
  0.584  0.1123E-02  0.8099E-05
  0.585  0.1278E-02  0.9377E-05
  0.586  0.1452E-02  0.1083E-04
  0.587  0.1649E-02  0.1248E-04
  0.588  0.1870E-02  0.1435E-04
  0.589  0.2118E-02  0.1647E-04
  0.590  0.2397E-02  0.1886E-04
  0.591  0.2709E-02  0.2157E-04
  0.592  0.3058E-02  0.2463E-04
  0.593  0.3448E-02  0.2808E-04
  0.594  0.3883E-02  0.3196E-04
  0.595  0.4368E-02  0.3633E-04
  0.596  0.4908E-02  0.4124E-04
  0.597  0.5509E-02  0.4675E-04
  0.598  0.6176E-02  0.5292E-04
  0.599  0.6915E-02  0.5984E-04
  0.600  0.7734E-02  0.6757E-04
  0.601  0.8641E-02  0.7621E-04
  0.602  0.9642E-02  0.8585E-04
  0.603  0.1075E-01  0.9660E-04
  0.604  0.1196E-01  0.1086E-03
  0.605  0.1331E-01  0.1219E-03
  0.606  0.1478E-01  0.1366E-03
  0.607  0.1640E-01  0.1530E-03
  0.608  0.1817E-01  0.1712E-03
  0.609  0.2011E-01  0.1913E-03
  0.610  0.2224E-01  0.2136E-03
  0.611  0.2456E-01  0.2381E-03
  0.612  0.2709E-01  0.2652E-03
  0.613  0.2986E-01  0.2951E-03
  0.614  0.3286E-01  0.3279E-03
  0.615  0.3612E-01  0.3641E-03
  0.616  0.3967E-01  0.4037E-03
  0.617  0.4351E-01  0.4472E-03
  0.618  0.4767E-01  0.4949E-03
  0.619  0.5216E-01  0.5471E-03
  0.620  0.5702E-01  0.6041E-03
  0.621  0.6226E-01  0.6663E-03
  0.622  0.6790E-01  0.7342E-03
  0.623  0.7396E-01  0.8082E-03
  0.624  0.8048E-01  0.8887E-03
  0.625  0.8748E-01  0.9762E-03
  0.626  0.9497E-01  0.1071E-02
  0.627  0.1030E+00  0.1174E-02
  0.628  0.1116E+00  0.1286E-02
  0.629  0.1207E+00  0.1406E-02
  0.630  0.1304E+00  0.1537E-02
  0.631  0.1408E+00  0.1678E-02
  0.632  0.1519E+00  0.1830E-02
  0.633  0.1636E+00  0.1993E-02
  0.634  0.1760E+00  0.2169E-02
  0.635  0.1891E+00  0.2358E-02
  0.636  0.2030E+00  0.2561E-02
  0.637  0.2177E+00  0.2779E-02
  0.638  0.2332E+00  0.3012E-02
  0.639  0.2494E+00  0.3261E-02
  0.640  0.2666E+00  0.3528E-02
  0.641  0.2846E+00  0.3813E-02
  0.642  0.3034E+00  0.4116E-02
  0.643  0.3232E+00  0.4439E-02
