#  E (eV)   dos(E)     Int dos(E)
 -3.346  0.8890E-04  0.8890E-06
 -3.336  0.3692E-03  0.4581E-05
 -3.326  0.1365E-02  0.1823E-04
 -3.316  0.4493E-02  0.6316E-04
 -3.306  0.1319E-01  0.1951E-03
 -3.296  0.3458E-01  0.5409E-03
 -3.286  0.8106E-01  0.1352E-02
 -3.276  0.1702E+00  0.3053E-02
 -3.266  0.3205E+00  0.6258E-02
 -3.256  0.5424E+00  0.1168E-01
 -3.246  0.8270E+00  0.1995E-01
 -3.236  0.1138E+01  0.3133E-01
 -3.226  0.1418E+01  0.4552E-01
 -3.216  0.1606E+01  0.6158E-01
 -3.206  0.1665E+01  0.7822E-01
 -3.196  0.1599E+01  0.9422E-01
 -3.186  0.1455E+01  0.1088E+00
 -3.176  0.1295E+01  0.1217E+00
 -3.166  0.1170E+01  0.1334E+00
 -3.156  0.1097E+01  0.1444E+00
 -3.146  0.1059E+01  0.1550E+00
 -3.136  0.1023E+01  0.1652E+00
 -3.126  0.9618E+00  0.1748E+00
 -3.116  0.8707E+00  0.1835E+00
 -3.106  0.7646E+00  0.1912E+00
 -3.096  0.6664E+00  0.1978E+00
 -3.086  0.5925E+00  0.2038E+00
 -3.076  0.5467E+00  0.2092E+00
 -3.066  0.5253E+00  0.2145E+00
 -3.056  0.5249E+00  0.2197E+00
 -3.046  0.5452E+00  0.2252E+00
 -3.036  0.5845E+00  0.2310E+00
 -3.026  0.6343E+00  0.2374E+00
 -3.016  0.6793E+00  0.2442E+00
 -3.006  0.7043E+00  0.2512E+00
 -2.996  0.7019E+00  0.2582E+00
 -2.986  0.6748E+00  0.2650E+00
 -2.976  0.6312E+00  0.2713E+00
 -2.966  0.5771E+00  0.2771E+00
 -2.956  0.5137E+00  0.2822E+00
 -2.946  0.4398E+00  0.2866E+00
 -2.936  0.3589E+00  0.2902E+00
 -2.926  0.2822E+00  0.2930E+00
 -2.916  0.2262E+00  0.2953E+00
 -2.906  0.2053E+00  0.2973E+00
 -2.896  0.2251E+00  0.2996E+00
 -2.886  0.2797E+00  0.3024E+00
 -2.876  0.3550E+00  0.3059E+00
 -2.866  0.4355E+00  0.3103E+00
 -2.856  0.5121E+00  0.3154E+00
 -2.846  0.5828E+00  0.3212E+00
 -2.836  0.6478E+00  0.3277E+00
