#  E (eV)   dos(E)     Int dos(E)
-22.614  0.9839E-04  0.9839E-06
-22.604  0.4129E-03  0.5113E-05
-22.594  0.1540E-02  0.2052E-04
-22.584  0.5111E-02  0.7163E-04
-22.574  0.1509E-01  0.2226E-03
-22.564  0.3967E-01  0.6193E-03
-22.554  0.9294E-01  0.1549E-02
-22.544  0.1942E+00  0.3491E-02
-22.534  0.3625E+00  0.7116E-02
-22.524  0.6059E+00  0.1317E-01
-22.514  0.9089E+00  0.2226E-01
-22.504  0.1229E+01  0.3455E-01
-22.494  0.1505E+01  0.4960E-01
-22.484  0.1681E+01  0.6641E-01
-22.474  0.1732E+01  0.8373E-01
-22.464  0.1667E+01  0.1004E+00
-22.454  0.1527E+01  0.1157E+00
-22.444  0.1361E+01  0.1293E+00
-22.434  0.1203E+01  0.1413E+00
-22.424  0.1073E+01  0.1520E+00
-22.414  0.9714E+00  0.1618E+00
-22.404  0.8905E+00  0.1707E+00
-22.394  0.8236E+00  0.1789E+00
-22.384  0.7686E+00  0.1866E+00
-22.374  0.7271E+00  0.1939E+00
-22.364  0.7012E+00  0.2009E+00
-22.354  0.6884E+00  0.2078E+00
-22.344  0.6800E+00  0.2146E+00
-22.334  0.6637E+00  0.2212E+00
-22.324  0.6306E+00  0.2275E+00
-22.314  0.5821E+00  0.2333E+00
-22.304  0.5318E+00  0.2386E+00
-22.294  0.4994E+00  0.2436E+00
-22.284  0.4998E+00  0.2486E+00
-22.274  0.5320E+00  0.2539E+00
-22.264  0.5771E+00  0.2597E+00
-22.254  0.6066E+00  0.2658E+00
-22.244  0.5968E+00  0.2718E+00
-22.234  0.5416E+00  0.2772E+00
-22.224  0.4567E+00  0.2817E+00
-22.214  0.3723E+00  0.2855E+00
-22.204  0.3210E+00  0.2887E+00
-22.194  0.3238E+00  0.2919E+00
-22.184  0.3819E+00  0.2957E+00
-22.174  0.4739E+00  0.3005E+00
-22.164  0.5630E+00  0.3061E+00
-22.154  0.6111E+00  0.3122E+00
-22.144  0.5956E+00  0.3182E+00
-22.134  0.5189E+00  0.3234E+00
-22.124  0.4063E+00  0.3274E+00
-22.114  0.2934E+00  0.3303E+00
-22.104  0.2125E+00  0.3325E+00
-22.094  0.1843E+00  0.3343E+00
-22.084  0.2150E+00  0.3365E+00
-22.074  0.2972E+00  0.3394E+00
-22.064  0.4096E+00  0.3435E+00
-22.054  0.5198E+00  0.3487E+00
-22.044  0.5925E+00  0.3547E+00
-22.034  0.6023E+00  0.3607E+00
-22.024  0.5456E+00  0.3661E+00
-22.014  0.4409E+00  0.3705E+00
-22.004  0.3205E+00  0.3738E+00
-21.994  0.2161E+00  0.3759E+00
-21.984  0.1490E+00  0.3774E+00
-21.974  0.1285E+00  0.3787E+00
-21.964  0.1536E+00  0.3802E+00
-21.954  0.2169E+00  0.3824E+00
-21.944  0.3048E+00  0.3854E+00
-21.934  0.3992E+00  0.3894E+00
-21.924  0.4794E+00  0.3942E+00
-21.914  0.5273E+00  0.3995E+00
-21.904  0.5316E+00  0.4048E+00
-21.894  0.4915E+00  0.4097E+00
-21.884  0.4165E+00  0.4139E+00
-21.874  0.3242E+00  0.4171E+00
-21.864  0.2353E+00  0.4195E+00
-21.854  0.1682E+00  0.4212E+00
-21.844  0.1352E+00  0.4225E+00
-21.834  0.1399E+00  0.4239E+00
